Paleon testate calibration dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revised, 25 March 2017 (went back to count data, made a few taxonomic corrections and deleted samples with less than 50 counts)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All samples with greater than 50 individuals counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,STUDY,Peatland,Peatland type,Location (lat/long: dec),,,,WTD (cm),pH,TOTAL COUNT,ampfla,ampwri,arcart,arccat,arccre,arcdis,arcgib,archem,arcvul,assmus,asssem,bulind,cenacu,cencas,ceneco,cenpla,cortri,cryovi,crysac,cycarc,cyckah,cypamp,difacu,difbaf,difbac,difglo,diflei,difluc,difobl,difovi,difpri,difpul,difrub,difurc,eugcri,eugrot,eugstr,eugtub,helpet,helros,helsph,helsyl,hyaele,hyamin,hyapap,hyasub,lesspp,nebbar,nebcar,nebcol,nebfla,nebgal,nebgri,nebmar,nebmil,nebpen,nebret/lon,nebtin,nebtub,nebvit,nebwai,parirr,phracr,plalen,plaspi,placal,pontsp,psefas,pseful,quasym,sphlen,traden,triarc,trimin
BL01,Booth 2008,Bloomingdale Bog,Raised bog,44,22.972,-74,8.335,27,3.76,180,0,0,0,0,0,1,0,0,0,40,16,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,24,17,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
BL02,Booth 2008,Bloomingdale Bog,Raised bog,44,22.972,-74,8.33,53,3.72,57,0,0,0,0,0,0,0,0,0,23,3,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
BL03,Booth 2008,Bloomingdale Bog,Raised bog,44,22.97,-74,8.324,13.5,3.78,160,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,111,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0
BL04,Booth 2008,Bloomingdale Bog,Raised bog,44,22.97,-74,8.321,35,3.6,126,0,0,0,7,0,0,0,0,0,33,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5
BL05,Booth 2008,Bloomingdale Bog,Raised bog,44,22.97,-74,8.315,11,3.48,179,0,0,0,0,0,1,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,137,0,0,0,0,0,0,1,0,0,0,0,10,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
BL06,Booth 2008,Bloomingdale Bog,Raised bog,44,22.968,-74,8.312,54.5,3.54,75,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
BL07,Booth 2008,Bloomingdale Bog,Raised bog,44,22.968,-74,8.31,27,3.67,133,0,0,0,0,0,0,0,0,0,60,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
BL08,Booth 2008,Bloomingdale Bog,Raised bog,44,22.969,-74,8.303,28.5,3.67,144,0,0,0,0,0,0,0,0,0,59,12,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,22,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3
BL09,Booth 2008,Bloomingdale Bog,Raised bog,44,22.967,-74,8.3,55.5,3.58,174,0,0,0,0,0,0,0,0,0,87,16,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4
BL10,Booth 2008,Bloomingdale Bog,Raised bog,44,22.968,-74,8.295,15.5,3.64,170,0,0,0,0,0,0,0,0,0,43,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,14,43,0,0,10,0,0,0,0,0,0,0,0,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
