"","Observation","Age","MVGP","Bummer","WA","WAPLS","MLRC","MAT","RF"
"42",42,608,11.8957954134845,16.3759493003875,13.6365107881251,17.7126693531368,20.9186887554584,13.3954757727144,15.6852366519993
"43",43,636,15.4066689827549,18.7690867075479,17.5713558643344,9.06951990687973,10.8057110035209,11.4556619165151,10.5887956325249
"44",44,721,17.4123848906083,13.0959914059889,16.5293223097178,21.9918415099076,21.4712803465321,13.0496273475825,16.0517700199374
"45",45,750,16.8634745051832,9.75193162846596,14.7027715432013,9.5194743913294,11.2056987735651,16.0490510772533,10.2234688511246
"46",46,782,13.6364207149567,10.9512445132215,9.61300883158193,10.4113430184636,13.8271679818834,4.45294724280964,7.48318961252491
"47",47,830,13.1345432066331,15.8248052925608,17.9426858811016,20.1869394797693,6.84542278063975,13.7507794735057,10.9772779558016
"48",48,878,21.8496572049346,10.3350562074357,11.495733783871,10.7402937438612,15.896177129221,16.1421105476044,17.6355971241355
"49",49,925,19.2426724769015,23.2642106900171,27.2842888981884,21.2721723005047,30.2033726759329,26.4412607135403,24.6230678450544
"50",50,971,22.4731349284841,9.48581417708427,17.5995736948134,5.57785211964741,17.437225967779,20.027787822543,17.4341414474174
"51",51,1019,18.613857580958,15.9003133165731,12.2007813243886,16.1733042950356,22.6365481619734,19.7338504449608,23.5616111928766
"52",52,1113,13.0175484782915,13.3212909114407,17.1107677983667,15.8098298380036,12.772832891003,12.9560365911417,13.242285683624
"53",53,1161,12.8174624037064,15.1440755883041,15.6630021298893,11.6946177926055,5.77656288747064,4.08653091951232,5.36358238573265
"54",54,1209,13.8800249089851,16.1804784205912,12.514588934908,7.27309735905318,20.8671853502691,19.670452579419,10.3433297196638
"55",55,1254,15.4329936179365,8.97582687567089,6.10468744425328,16.3090790681263,17.7412424563553,13.0725487652851,16.7750571108459
"56",56,1298,9.32716015869989,18.6459370574769,13.5333064528038,12.1842763335726,16.6838737749748,8.35979806525262,17.6046984305199
